,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
8,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,593",482,1920,1,A6,0,1/30/2023,40.5943356,-73.7724074
9,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,594",482,1920,1,A6,195000,2/3/2022,40.5943356,-73.7724074
11,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,48,,A5,335 BEACH 40 STREET,,11691,1,0,1,"2,245","1,350",2005,1,A5,0,7/1/2022,40.5951618,-73.7724154
16,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,,A2,354 BEACH 46 STREET,,11691,1,0,1,"3,804","2,304",1925,1,A2,190000,8/19/2022,40.5950749,-73.777086
18,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,,A2,311 BEACH 47 STREET,,11691,1,0,1,"2,853","2,080",1920,1,A2,0,8/24/2022,40.5938722,-73.7782782
19,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,,A6,40-01 ROCKAWAY BEACH BLVD,,11691,1,0,1,"2,626",618,1920,1,A6,542000,3/1/2022,40.5939781,-73.7720702
20,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15850,30,,A6,206 BEACH 42 STREET,,11691,1,0,1,"2,000",560,1920,1,A6,375000,9/23/2022,40.5935278,-73.7733716
22,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,,A0,63-07 BEACH CHANNEL DRIVE,,11692,1,0,1,"4,000","1,020",1950,1,A0,0,3/31/2022,40.5928038,-73.7926269
24,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15960,8,,A1,410 BEACH 43 STREET,,11691,1,0,1,"2,252",866,2018,1,A1,146138,11/9/2022,40.5961404,-73.7745474
27,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,91,,A2,461 BEACH 43 STREET,,11691,1,0,1,"2,513","1,920",1899,1,A2,0,3/31/2022,40.5973495,-73.7752779
28,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,51,,A1,457 BEACH 46 STREET,,11691,1,0,1,"2,377","1,664",2004,1,A1,700000,8/9/2022,40.5971514,-73.777828
29,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15972,62,,A1,401 BEACH 47 STREET,,11691,1,0,1,"3,604","1,464",1915,1,A1,0,5/6/2022,40.5956375,-73.7784848
31,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028,170,,A2,67-04 ALMEDA AVENUE,,11692,1,0,1,"1,988","1,125",1930,1,A2,550000,9/16/2022,40.597118,-73.7968949
32,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,34,,A2,68-11 BAYFIELD AVENUE,,11692,1,0,1,"5,279","1,242",1950,1,A2,530000,7/11/2022,40.598762,-73.7983447
33,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,27,,A9,5-60 BEACH 65 STREET,,11692,1,0,1,"2,500","1,755",1960,1,A9,1,5/24/2022,40.5967209,-73.7942891
34,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,23,,A1,548 BEACH 66 STREET,,11692,1,0,1,"3,999","2,550",1950,1,A1,657200,12/2/2022,40.596341,-73.7951869
35,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,64,,A2,417 BEACH 64 STREET,,11692,1,0,1,"3,999","1,216",1930,1,A2,390000,6/21/2022,40.5935439,-73.7936003
36,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16039,10,,A2,418 BEACH 66 STREET,,11692,1,0,1,"3,000","1,832",1935,1,A2,0,11/20/2022,40.593538,-73.7949038
37,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16045,20,,A6,69-23 BAYFIELD AVENUE,,11692,1,0,1,"2,000",640,1920,1,A6,400000,3/30/2022,40.5986601,-73.7997494
38,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,52,,A1,69-44 BURCHELL AVENUE,,11692,1,0,1,"3,000","1,504",2018,1,A1,0,9/20/2022,40.5963004,-73.8001778
42,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16050,12,,A2,69-37 ELIZABETH AVENUE,,11692,1,0,1,"2,499",750,1925,1,A2,420000,6/10/2022,40.595213,-73.7999182
49,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15831,13,,B9,312 BEACH 42 STREET,,11691,2,0,2,"3,066","1,764",1940,1,B9,683000,8/9/2022,40.5943622,-73.7733832
50,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,47,,B3,347 BEACH 43 STREET,,11691,2,0,2,"5,136","1,760",1920,1,B3,705000,9/20/2022,40.5950818,-73.7750083
51,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,6,,B2,320 BEACH 47 STREET,,11691,2,0,2,"2,805","2,234",2004,1,B2,815000,12/1/2022,40.5941595,-73.7778092
54,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15897,133,,B2,57-19 ARVERNE BOULEVARD,,11692,2,0,2,"2,075","2,000",2003,1,B2,10,2/2/2022,40.5925782,-73.7877955
56,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,3,,B1,172 BEACH 61 STREET,,11692,2,0,2,"3,135","2,052",2000,1,B1,786000,10/18/2022,40.5910509,-73.7901515
57,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,4,,B1,176 BEACH 61 STREET,,11692,2,0,2,"4,169","2,052",2000,1,B1,800000,8/31/2022,40.5911387,-73.7901584
58,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,37,,B2,165 BEACH 60 STREET,,11692,2,0,2,"3,535","2,400",1960,1,B2,685000,9/16/2022,40.5910008,-73.7897916
59,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,15,,B2,64-10 BEACH FRONT ROAD,,11692,2,0,2,"3,541","3,084",2014,1,B2,1240000,9/28/2022,40.5881746,-73.7933433
61,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,58,,B2,158 SEA GRASS LANE,,11692,2,0,2,"3,226","2,515",2014,1,B2,960000,7/12/2022,40.5899701,-73.7920128
63,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,144,,B2,178 SALTAIRE LANE,,11692,2,0,2,"3,257","2,419",2011,1,B2,976000,4/21/2022,40.5906594,-73.7937461
64,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,173,,B2,64-17 OCEAN AVENUE NORTH,,11692,2,0,2,"3,046","2,515",2014,1,B2,0,7/19/2022,40.5897672,-73.7936516
67,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,237,,B2,66-13 SURF AVENUE,,11692,2,0,2,"2,143","2,908",2011,1,B2,1050000,9/2/2022,40.5889057,-73.7953933
69,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,251,,B2,65-18 SEASPRAY AVENUE,,11692,2,0,2,"2,447","2,908",2011,1,B2,0,2/23/2022,40.5888796,-73.7946157
70,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15908,18,,B3,63-03 BEACH CHANNEL DRIVE,,11692,2,0,2,"4,000","1,182",1945,1,B3,901000,2/1/2022,40.5928118,-73.7924828
71,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,48,,B2,65-09 BEACH CHANNEL DRIVE,,11692,2,0,2,"3,242","2,024",1965,1,B2,585000,3/22/2022,40.592692,-73.7945752
72,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15913,74,,B2,333 BEACH 66 STREET,,11692,2,0,2,"4,000","1,904",1920,1,B2,555000,4/13/2022,40.5925289,-73.7954254
74,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,352 BEACH 69 STREET,,11692,2,0,2,"5,999","2,926",1910,1,B2,0,12/12/2022,40.5922805,-73.7977882
75,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,352 BEACH 69 STREET,,11692,2,0,2,"5,999","2,926",1910,1,B2,855000,7/28/2022,40.5922805,-73.7977882
76,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,62,,B3,3-31 BEACH 68 STREET,,11692,2,0,2,"3,999","1,656",1910,1,B3,507000,9/22/2022,40.5921124,-73.797407
77,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,45,,B1,149 BEACH 60 STREET,,11692,2,0,2,"5,009","1,994",1999,1,B1,380000,4/22/2022,40.5906632,-73.7897639
78,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,53,,B1,137 BEACH 60 STREET,,11692,2,0,2,"3,267","1,994",1999,1,B1,476580,9/19/2022,40.5902733,-73.7897219
79,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15952,4,,B2,408 BEACH 36 STREET,,11691,2,0,2,"4,354","2,068",2003,1,B2,739500,9/23/2022,40.5965593,-73.7684965
83,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,40,,B2,474 BEACH 44 STREET,,11691,2,0,2,"2,106","2,244",2002,1,B2,625000,1/20/2023,40.5978802,-73.7757262
84,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15966,59,,B2,479 BEACH 44 STREET,,11691,2,0,2,"3,411","2,400",2007,1,B2,795000,10/3/2022,40.5979635,-73.7762517
87,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,1,,B9,404 BEACH 48 STREET,,11691,2,0,2,"3,804","1,764",1960,1,B9,651900,4/29/2022,40.5956107,-73.778809
88,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,,B9,450 BEACH 48 STREET,,11691,2,0,2,"9,676","1,869",1960,1,B9,550000,8/30/2022,40.5969614,-73.7789449
90,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,103,,B2,62-28 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,699000,12/9/2022,40.5981738,-73.7917531
91,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,104,,B1,62-26 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B1,753505,11/2/2022,40.5981791,-73.7916379
92,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,106,,B2,62-20 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,814600,1/27/2023,40.5981924,-73.7914074
93,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16007,43,,B2,62-35 ALMEDA AVENUE,,11692,2,0,2,"3,317","2,254",2010,1,B2,0,12/8/2022,40.5970444,-73.7925561
99,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,22,,B2,638 BEACH 64 STREET,,11692,2,0,2,"3,399","2,068",1996,1,B2,690000,6/28/2022,40.5982264,-73.793503
101,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16024,27,,B2,643 BEACH 64 STREET,,11692,2,0,2,"4,200","2,068",1994,1,B2,630000,3/18/2022,40.5983921,-73.7940967
105,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,8,,B9,614 BEACH 69 STREET,,11692,2,0,2,"2,724","1,344",1960,1,B9,625000,6/29/2022,40.5973676,-73.7983093
106,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,16,,B9,630 BEACH 69 STREET,,11692,2,0,2,"2,725","1,344",1960,1,B9,368000,2/1/2022,40.5978315,-73.7983583
109,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,79,,B2,505 BEACH 63 STREET,,11692,2,0,2,"3,164","1,978",2000,1,B2,10,3/8/2022,40.5953486,-73.7928206
112,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,19,,B2,540 BEACH 67 STREET,,11692,2,0,2,"3,999","2,240",2003,1,B2,0,8/19/2022,40.5960655,-73.7961492
115,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,59,,B1,525 BEACH 67 STREET,,11692,2,0,2,"3,999","2,400",2002,1,B1,500000,12/8/2022,40.5957015,-73.7967768
117,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16035,28,,B1,68-16 ELIZABETH AVENUE,,11692,2,0,2,"2,929","1,860",2006,1,B1,0,4/4/2022,40.5956629,-73.7982065
122,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16040,28,,B3,458 BEACH 67 STREET,,11692,2,0,2,"3,999","1,923",1920,1,B3,624000,10/20/2022,40.5945089,-73.7959919
123,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,40,,B2,4-63 BEACH 68 STREET,,11692,2,0,2,"3,999","2,200",2003,1,B2,0,10/17/2022,40.5946244,-73.7976659
124,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,40,,B2,4-63 BEACH 68 STREET,,11692,2,0,2,"4,000","2,200",2003,1,B2,0,3/2/2022,40.5946244,-73.7976659
126,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,65,,B2,4-13 BEACH 68 STREET,,11692,2,0,2,"3,250","1,785",2006,1,B2,750000,9/7/2022,40.5932133,-73.7975189
127,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,67,,B2,68-04 BEACH CHANNEL DRIVE,,11692,2,0,2,"2,434","1,785",2006,1,B2,780000,6/23/2022,40.5929852,-73.797372
128,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,71,,B2,68-16 BEACH CHANNEL DRIVE,,11692,2,0,2,"2,747","1,785",2006,1,B2,700000,9/6/2022,40.5929531,-73.7978618
129,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,11,,B9,69-45 BAYFIELD AVENUE,,11692,2,0,2,"3,000","2,016",1950,1,B9,0,6/28/2022,40.5986175,-73.8004878
130,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,23,,B1,69-19 BAYFIELD AVENUE,,11692,2,0,2,"3,370","2,520",2005,1,B1,0,6/6/2022,40.5986708,-73.7995585
133,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,61,,B9,69-36 HILLMEYER AVENUE,,11692,2,0,2,"3,749","2,160",1950,1,B9,0,7/7/2022,40.5976835,-73.8000476
135,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,64,,B9,69-44 HILLMEYER AVENUE,,11692,2,0,2,"3,749","2,057",1940,1,B9,100,10/12/2022,40.5976675,-73.8003177
137,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,5,,B9,69-55 HILLMEYER AVENUE,,11692,2,0,2,"2,625","1,869",1940,1,B9,0,10/13/2022,40.5972372,-73.8006647
139,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,15,,B9,69-33 HILLMEYER AVENUE,,11692,2,0,2,"2,625","1,617",1960,1,B9,750000,10/24/2022,40.5972825,-73.799912
142,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16048,5,,B2,69-55 ALMEDA AVENUE,,11692,2,0,2,"3,032","1,848",2003,1,B2,765000,9/19/2022,40.5965509,-73.8006416
144,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,7,,B9,69-39 THURSBY AVENUE,,11692,2,0,2,"3,000","2,068",1950,1,B9,0,2/22/2022,40.5945267,-73.7998878
146,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16053,17,,B2,69-29 GOUVERNEUR AVENUE,,11692,2,0,2,"3,999","2,118",1910,1,B2,0,6/21/2022,40.5931809,-73.7993698
147,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16058,15,,B2,72-12 ALMEDA AVENUE,,11692,2,0,2,"3,000","2,001",1998,1,B2,720000,9/15/2022,40.5969121,-73.8015803
149,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,13,,B2,74-17 HILLMEYER AVENUE,,11692,2,0,2,"2,499","1,874",2019,1,B2,900000,7/21/2022,40.5970263,-73.8041438
150,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,14,,B2,74-13 HILLMEYER AVENUE,,11692,2,0,2,"2,499","1,874",2019,1,B2,975000,7/5/2022,40.5970289,-73.8040538
151,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,17,,B2,617 BARBADOES DRIVE,,11692,2,0,2,"3,000","2,240",2022,1,B2,975000,12/13/2022,40.5971464,-73.8037546
152,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,18,,B2,615 BARBADOES DRIVE,,11692,2,0,2,"2,799","2,280",2022,1,B2,950000,11/21/2022,40.5970641,-73.8037476
153,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,19,,B2,613 BARBADOES DRIVE,,11692,2,0,2,"2,799","2,094",2022,1,B2,936790,1/30/2023,40.5969899,-73.803737
154,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,20,,B2,611 BARBADOES DRIVE,,11692,2,0,2,"3,000","2,094",2022,1,B2,936790,1/31/2023,40.5969103,-73.8037301
155,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,21,,B2,607 BARBADOES DRIVE,,11692,2,0,2,"2,799","2,094",2022,1,B2,960000,12/6/2022,40.5968335,-73.8037231
156,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,23,,B2,605 BARBADOES DRIVE,,11692,2,0,2,"2,799","2,094",2022,1,B2,936790,1/6/2023,40.5967566,-73.8037161
157,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,25,,B2,603 BARBADOES DRIVE,,11692,2,0,2,"3,000","2,108",2022,1,B2,946973,12/2/2022,40.596677,-73.8037091
158,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16065,53,,B2,72-18 ELIZABETH AVENUE,,11692,2,0,2,"3,999","2,350",2003,1,B2,760000,8/19/2022,40.5955261,-73.8016348
160,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16090,64,,B2,201 BEACH BREEZE PLACE,,11692,2,0,2,"3,208","2,905",2004,1,B2,1055000,8/2/2022,40.5888037,-73.8029906
161,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16091,17,,B2,7602 AQUATIC DRIVE,,11692,2,0,2,"2,161","2,905",2004,1,B2,939500,2/14/2022,40.5894665,-73.8037879
162,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16091,44,,B2,201 BEACH BREEZE LANE,,11692,2,0,2,"2,879","2,905",2004,1,B2,0,11/8/2022,40.5886019,-73.8037725
163,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,9,,B2,7006 BEACH FRONT ROAD,,11692,2,0,2,"3,558","2,520",2007,1,B2,1318000,9/1/2022,40.5875364,-73.7987315
164,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,9,,B2,7006 BEACH FRONT ROAD,,11692,2,0,2,"3,558","2,520",2007,1,B2,1318000,9/1/2022,40.5874765,-73.7989873
165,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,17,,B2,132 MERIDIAN BOULEVARD,,11692,2,0,2,"1,879","2,944",2007,1,B2,990000,7/12/2022,40.5879933,-73.7994754
166,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,25,,B2,7011 CATAMARAN WAY,,11692,2,0,2,"2,355","2,944",2007,1,B2,1100000,9/14/2022,40.5881214,-73.7989133
167,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,46,,B2,164 COMMODORE CIRCLE E,,11692,2,0,2,"1,971","2,926",2008,1,B2,0,6/17/2022,40.5885136,-73.7987249
168,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,68,,B2,7008 CORAL REEF WAY,,11692,2,0,2,"2,977","2,944",2007,1,B2,1140000,9/22/2022,40.5893289,-73.7987981
169,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,76,,B2,177 COMMODORE CIRCLE W,,11692,2,0,2,"3,301","2,953",2007,1,B2,1045000,6/17/2022,40.5892638,-73.7992771
170,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,93,,B2,183 SCHOONER STREET,,11692,2,0,2,"2,939","2,218",2007,1,B2,0,3/21/2022,40.5890267,-73.8002464
171,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,101,,B2,7219 CATAMARAN WAY,,11692,2,0,2,"3,131","2,953",2007,1,B2,997500,9/23/2022,40.5884209,-73.8006694
172,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,127,,B2,7222 WATER WAY,,11692,2,0,2,"3,841","3,144",2007,1,B2,0,10/12/2022,40.5874599,-73.8005067
173,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,130,,B2,114 MERIDIAN BOULEVARD,,11692,2,0,2,"1,918","2,887",2007,1,B2,0,3/16/2022,40.5874644,-73.7999306
174,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,130,,B2,114 MERIDIAN BOULEVARD,,11692,2,0,2,"1,918","2,887",2007,1,B2,0,5/11/2022,40.5874644,-73.7999306
175,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16096,2,,B2,1-94 BEACH 74 STREET,,11692,2,0,2,"3,517","2,905",2006,1,B2,980000,3/9/2022,40.5888316,-73.8016907
176,4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16096,33,,B2,73-11 ARVERNE MEWS DRIVE,,11692,2,0,2,"1,944","2,438",2003,1,B2,975000,6/6/2022,40.5877523,-73.8013591
177,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15903,34,,C0,171 BEACH 60 STREET,,11692,3,0,3,"2,000","3,120",2005,1,C0,1489686,11/11/2022,40.5911765,-73.7898126
179,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15913,82,,C0,325 BEACH 66 STREET,,11692,3,0,3,"4,000","2,254",1920,1,C0,0,3/25/2022,40.5920896,-73.7953836
181,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16032,56,,C0,65-04 THURSBY AVENUE,,11692,3,0,3,"4,000","1,886",1950,1,C0,999000,4/11/2022,40.5952557,-73.7946033
183,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16037,6,,C0,414 BEACH 64 STREET,,11692,3,0,3,"3,999","1,580",1931,1,C0,650000,9/7/2022,40.5934688,-73.7930137
184,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16040,62,,C0,419 BEACH 66 STREET,,11692,3,0,3,"3,999","2,863",1920,1,C0,600000,10/27/2022,40.5935391,-73.7955303
187,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16053,15,,C0,69-33 GOUVERNEUR AVENUE,,11692,3,0,3,"4,000","1,762",1910,1,C0,0,4/25/2022,40.5931729,-73.7995138
188,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16053,21,,C0,69-21 GOUVERNEUR AVENUE,,11692,3,0,3,"3,999","2,118",1910,1,C0,0,7/23/2022,40.5931968,-73.7990817
189,4,ARVERNE,03 THREE FAMILY DWELLINGS,1,16081,17,,C0,343 BEACH 69 STREET,,11692,3,0,3,"4,000","2,226",1920,1,C0,330000,5/27/2022,40.5920511,-73.7984154
197,4,ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,15830,4,,V0,40-08 ROCKAWAY BEACH BLVD,,11691,0,0,0,"1,517",0,,1,V0,3000,2/3/2022,40.5943491,-73.7723174
202,4,ARVERNE,05 TAX CLASS 1 VACANT LAND,1,15965,87,,B2,467 BEACH 43 STREET,,11691,2,0,2,"3,774",0,2022,1,V0,896060,7/26/2022,40.5975527,-73.7752988
207,4,ARVERNE,05 TAX CLASS 1 VACANT LAND,1,16005,101,,B1,62-44 HILLMEYER ROAD,,11692,2,0,2,"3,179",0,2022,1,V0,714478,7/29/2022,40.5981605,-73.7919836
208,4,ARVERNE,05 TAX CLASS 1 VACANT LAND,1,16005,102,,B2,62-32 HILLMEYER ROAD,,11692,2,0,2,"3,179",0,2022,1,V0,711248,7/26/2022,40.5981658,-73.7918684
210,4,ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16050,7,,V0,69-47 ELIZABETH AVENUE,,11692,0,0,0,"4,000",0,2022,1,V0,896060,2/11/2022,40.5951863,-73.800372
214,4,ARVERNE,06 TAX CLASS 1 - OTHER,1,15835,61,,G0,339 BEACH 44 STREET,,11691,1,0,1,"3,431",0,1950,1,G0,260000,4/13/2022,40.5950122,-73.7759123
217,4,ARVERNE,27 FACTORIES,4,16038,70,,F9,64-08 BEACH CHANNEL DRIVE,,11692,0,2,2,"7,617","6,810",1930,4,F9,2555000,12/5/2022,40.5932367,-73.7936841
219,4,ARVERNE,29 COMMERCIAL GARAGES,4,16011,105,,G4,59-14 BEACH CHANNEL DRIVE,,11692,0,1,1,"19,473","3,525",1971,4,G4,4000000,7/18/2022,40.5941351,-73.7896089
222,4,ARVERNE,31 COMMERCIAL VACANT LAND,4,16038,68,,V1,64-04 BEACH CHANNEL DRIVE,,11692,0,0,0,"4,382",0,,4,V1,2555000,12/5/2022,40.59325,-73.793468
248,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,722,29,,A5,32-23 46 STREET,,11103,1,0,1,"2,499","1,430",1920,1,A5,1340000,10/13/2022,40.7559631,-73.9144877
264,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,746,22,,A1,23-65 48 STREET,,11103,1,0,1,"5,472","1,050",1920,1,A1,0,5/4/2022,40.7659513,-73.9041827
289,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,823,165,,S1,36-19 DITMARS BOULEVARD,,11105,1,1,2,"1,799","2,016",1925,1,S1,800000,9/1/2022,40.7741443,-73.9074312
291,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,839,36,,A2,27-12 HOYT AVENUE SOUTH,,11102,1,0,1,"1,242",444,1915,1,A2,0,2/28/2022,40.7716203,-73.9199517
296,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,857,3,,A5,27-05 DITMARS BOULEVARD,,11105,1,0,1,"2,000","1,870",1920,1,A5,1520000,12/19/2022,40.7778373,-73.9126435
298,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,858,165,,A5,26-17 DITMARS BOULEVARD,,11105,1,0,1,"2,000","1,280",1920,1,A5,1400000,6/15/2022,40.7780901,-73.9130115
306,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,872,48,,A5,23-18 HOYT AVENUE SOUTH,,11102,1,0,1,"1,716","1,200",1940,1,A5,1049000,6/30/2022,40.7734006,-73.9223939
315,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,888,46,,A2,25-14 21 STREET,,11102,1,0,1,"2,788","1,320",1930,1,A2,990000,11/9/2022,40.7743518,-73.924689
325,4,ASTORIA,01 ONE FAMILY DWELLINGS,1,1023,55,,A5,28-23 HOBART STREET,,11377,1,0,1,"1,700","1,589",1940,1,A5,880000,8/8/2022,40.7609378,-73.9055472
326,4,ASTORIA,02 TWO FAMILY DWELLINGS,1,506,8,,B2,30-26 12 STREET,,11102,2,0,2,"3,050","2,104",1920,1,B2,0,2/17/2022,40.7709501,-73.932094
335,4,ASTORIA,02 TWO FAMILY DWELLINGS,1,533,42,,B1,14-50 31 AVENUE,,11106,2,0,2,"2,476","2,519",1961,1,B1,0,6/3/2022,40.7673756,-73.9306139
351,4,ASTORIA,02 TWO FAMILY DWELLINGS,1,567,49,,B1,31-70 CRESCENT STREET,,11106,2,0,2,"1,900","2,094",1901,1,B1,999999,8/18/2022,40.7642176,-73.9280397
356,4,ASTORIA,02 TWO FAMILY DWELLINGS,1,573,11,,B2,25-23 NEWTOWN AVENUE,,11102,2,0,2,"9,083","2,610",1940,1,B2,4750000,9/9/2022,40.7702636,-73.9227766
